"","Organization","Identification number","...3","Registration date:","Section","Subsection","(Organisation) name","Legal status:","Website address:","Head office country","Head office address","Head office city","Head office post code","Head office post box","Head office phone","Belgium office address","Belgium office city","Belgium office post code","Belgium office post box","Belgium office phone","Person with legal responsibility","Position:...20","Person in charge of EU relations","Position:...22","Goals / remit","Level of interest","EU initiatives","Relevant communication","Inter groups","Industry forums","Commission Expert Groups And Other Similar Entities (European Commission)","Number of persons involved:","Full time equivalent (FTE)","Number of EP accredited persons","Persons accredited for access to European Parliament premises","Fields of interest","Membership","Member organisations","Financial year: Start Date","Financial year: End Date","Estimate of costs (absolute amount)","Estimate of costs (as a range)","Overall budget/Turnover (absolute amount)","Overall budget/Turnover (as a range)","Customers","Procurement:","Source...45","Grants:","Source...47"
"1","International Finance Corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Confederation of Indian Industry","54665015930-89",NA,"27/05/2011","III - Non-governmental organisations","Non-governmental organisations, platforms and networks and similar","International Development Enterprises (India) (IDEI)","Not for profit (NGO)","http://www.ide-india.org","India","IDEI, Local Shopping Centre, Sector-12, Plot No 10 Dwarka","New Delhi","110075",NA,"(+91)9711478606",NA,NA,NA,NA,NA,"Amitabha Sadangi","CEO","Shveta Bakshi","Executive Vice President","IDEI is a social enterprise committed to providing long term solutions to poverty, hunger and deprivation.  IDEI empowers smallholder farmers to overcome the constraint of water for irrigation by providing affordable irrigation technologies. Using these technologies farmers shift from once a year cultivation to round the year cultivation of crops. 
 
IDEI has developed and disseminated the following pro-poor technologies: 
1. Water lifting technologies such as treadle pumps for lifting water from below the ground and surface water sources  
2. Water application technologies (drip systems and sprinklers) which optimize water use in arid and semi arid regions 
3. Water storage technologies  
4. Sustainable agriculture technologies (vermiwash, bio-pesticides and fertilizers, nursery plantation) 
  
IDEI believes the poor are not “recipients of charity” but “entrepreneurs” eager to build their own future. IDEI is unique in promoting a pioneering market-development model which envisages the integration of poor smallholders with markets, both as buyers of inputs and as vendors of high-value agricultural produce. Besides developing and disseminating the relevant technologies, IDEI empowers smallholder farmers by informing and training them about better practices and inputs; and by integrating them into markets through better supply chains and market linkages. IDEI’s innovative “Profit for Progress” methodology involves creating and nurturing private sector supply chains engaged in the manufacture and distribution of the technologies at fair prices which incorporate a profit margin for themselves. 
 
Through its work IDEI has reached out to over 1.38 Million farmer households (7.4 million people) cumulatively. Currently there are over 50 members in the supply chain network that includes manufacturers, distributors, dealers and village based mechanics.  
 
IDEI’s programs have the following positive impacts:  
1. Economic Empowerment:  Net additional annual cash income of USD 400 per family, decrease in cost of irrigation and energy use per unit area irrigated, increase in employment, and multiplier effect in local economy as increased income is spent on local services and products. Till date customer farmers have generated over 7 Billion as net additional income (cumulatively @PPP) 
 
2. Environmental Well-being: Decrease in CO2 emissions and significant savings in diesel, electricity and water use. Till date 2.62 million tCO2 eq carbon has been ofset, 682 million litres of diesel saved and over 800 million kWh electricity saved. In addition to these 6.6 Billion cu mtr of water has been saved. 
 
3. Social Benefits: Decrease in seasonal migrations and women’s workload, improved access to education for children and better quality of life for smallholder families. Smallholders are no longer on the periphery of society as a marginalized group but active participants in social processes.  
 
4. Employment Generated: with the promotion of IDEI developed technologies till date over 610 million work days employment has been generated on the farm and over 1.79 Million employment generated in the supply chain.","national, regional/local","IDEI is not receiving any funding from EU sources currently.",NA,NA,NA,"NA",1,0.25,NA,NA,"Economy, finance and the euro, Agriculture and Rural Development, International co-operation and development, Energy, Environment, Climate Action","IDEI is associated with the following knowledge partners: 
 
1. NGO in Special Consultative Services with the Economic and Social Council of United Nations  
2. Global Water Partnership 
3. Global Agenda Council on Water 
4. International Water Management Institute 
5. AVRDC (Asian Vegetable Research and Development Centre) 
6. World Economic Forum 
7. World Entrepreneurship Forum 
8. Clinton Global Initiative 
9. Skoll Foundation 
10. Indian Institure of technology, Chennai 
11. Rajiv Gandhi Institute of Contemporary Studies 
12. Confederation of Indian Industry 
13. Confederation on Indian Chambers of Commerce and Industry",NA,"01/04/2016","01/03/2017",NA,"0-9999",1119990,NA,NA,NA,NA,NA,NA
"3","GSMA","30988577529-37",NA,"22/12/2011","II - In-house lobbyists and trade/business/professional associations","Trade unions and professional associations","GSMA Europe (GSMA Europe)","non available","http://www.gsma.com/gsmaeurope","United Kingdom","GSM Association The Walbrook Building Walbrook, 25","London","EC4N 8AF",NA,"(+44)02073560600","Chaussée d'Etterbeek, 180","Brussels","1040",NA,"(+32)27920550","Afke Schaart","VP and Head of Europe","Afke Schaart","VP and Head of Europe","About the GSMA 
The GSMA represents the interests of mobile operators worldwide, uniting nearly 800 operators with more than 300 companies in the broader mobile ecosystem, including handset and device makers, software companies, equipment providers and internet 
companies, as well as organisations in adjacent industry sectors. The GSMA also produces industry-leading events such as Mobile World Congress, Mobile World Congress Shanghai, Mobile World Congress Americas and the Mobile 360 Series of conferences. 
 
For more information, please visit the GSMA corporate website at www.gsma.com.  
Follow the GSMA on Twitter: @GSMA and @GSMAEurope.","European, global","-    European Electronic Communications Code 
-    Digital Single Market Strategy Review 
-    Net neutrality 
-    SMP Guidelines 
-    Roaming 
-    5G  
-    Spectrum 
-    Automated and connected vehicles 
-    ePrivacy Regulation 
-    GDPR implementation 
-    Free flow of data 
-    Cyber Security Act 
-    NIS Directive 
-    Data retention 
-    Artificial Intelligence 
-    REFIT of Consumer and Marketing Law 
-    Injunctions Directive 
-    Digital Content Directive 
-    Tangible Goods Directive 
-    Platform Regulation 
-    Copyright Regulation (SatCab) 
-    PSI Directive 
-    EMF – Electromagnetic fields 
-    EHS – Electromagnetic HyperSensitivity 
-       Taxation 
-    Digital Inclusion 
-    Development 
-    Women in Tech",NA,NA,NA,"Stakeholder consultation group for the Fitness Check of EU consumer and marketing law #E03423#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3423#Member#C#eHealth Stakeholder Group#E02769#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2769#Member#C#Classification and Borderline Expert Group#E01306#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=1306#Member#C#European eCall Implementation Platform#E02481#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2481#Member#C#European Multi-Stakeholders Platform on ICT Standardisation#E02758#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2758#Member#C#Smart Grids Task Force #E02892#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2892#Member#C#Steering Committee#Multistakeholder expert group to support the application of Regulation (EU) 2016/679#E03537#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3537#Alternate Member#C",9,6.75,9,"ALIX#Paul, Baer#Dagmar, Hazenberg#Johan Bernard, Jakimavicius#Tomas, LYNIKAITE#Ruta, Rizzo#Pierantonio, SCHAART#Afke, SENDIN VALLE#Maria, SOTIRIOU#Maria","Business and Industry, Culture and media, Trade, Competition, Consumers, International co-operation and development, Customs, Education and training, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Youth, Justice and Fundamental Rights, Single market, Regional Policy, Research and innovation, External Relations, Trans-European Networks, Public Health, Digital economy and society, Climate Action","•European Internet Forum (EIF)  - www.eifonline.org/","www.gsma.com/membership/who-are-our-gsma-members/","01/04/2017","01/03/2018",NA,"1000000-1249999",0,NA,NA,NA,NA,NA,NA
"4","Economiesuisse","930083921945-18",NA,"26/05/2016","II - In-house lobbyists and trade/business/professional associations","Trade and business associations","economiesuisse (economiesuisse)","Im Handelsregister eingetragener Verein nach Schweizer Recht","http://www.economiesuisse.ch/de","Switzerland","Hegibachstr. 47","Zürich","8032",NA,"(+41)444213535","Avenue de Cortenbergh 168","Bruxelle","1000",NA,"(+32)22800844","Monika Rühl","Vorsitzende der Geschäftsleitung","François Baur","Head European Affairs","economiesuisse vertritt als Schweizer Dachverband die Interessen der Wirtschaft im politi­schen Prozess und setzt sich für optimale Rah­menbedingungen ein. Zu unseren Mit­gliedern zählen 100 Branchenver­bände, 20 kantonale Handelskammern sowie einige Einzelunternehmen. Insgesamt vertreten wir 100'000 Schweizer Unternehmen aus allen Branchen mit 2 Millionen Arbeitsplätzen in der Schweiz. KMU und Grossunternehmen, export- und binnenmarktorientierte Betriebe: Im Dachverband economie­suisse sind sie alle vereint. Die Missi­on von economiesuisse ist die Schaffung optimaler Rahmenbedingungen für die Schweizer Wirtschaft sowohl für international ausgerichtete Grossunternehmen als auch für KMU. Dazu gehören die Erhaltung des unternehmerischen Freiraums, die kontinuierliche Verbesserung des Produktions- und Forschungsstandorts Schweiz im globalisierten Wettbewerb sowie die Förderung des nachhaltigen Wachstums. Letzteres ist eine Grundvoraussetzung für eine hohe Beschäftigung und die Sicherung des Wohlstands in der Schweiz. 
economiesuisse vertritt die Interessen seiner Mitglieder in der Schweiz gegenüber Regierung, Politik und Öffentlichkeit in allen Bereichen der Wirtschaftspolitik. economiesuisse ist auch im Ausland aktiv. Im Interesse seiner Mitglieder pflegt economiesuisse enge Kontakte zu vergleichbaren Organisationen, sei es in der EU, in der OECD oder bei weiteren bilateralen Fragen mit aufstrebenden Ländern. Der Verband ist den Grundsätzen einer freiheitlichen und marktwirtschaftlichen Ordnung sowie der sozialen und ökologi­schen Verantwortung verpflichtet.","European, global, national","economiesuisse beobachtet alle Tätigkeiten der EU in folgenden Kernbereichen: 
•    Allgemeine Wirtschaftspolitik 
•    Aussenwirtschaftspolitik 
•    Steuern 
•    Finanzen 
•    Bildung und Forschung 
•    Infrastruktur 
•    Energie und Umwelt 
•    Regulatorisches 
•    Wettbewerb 
Ausserdem befasst sich economiesuisse intensiv mit den bilateralen Wirtschafts- und Handelsbeziehungen zwischen der EU und der Schweiz und insbesondere mit der Fortführung und Weiterentwicklung der bilateralen Abkommen.","Regelmässige Informationen und Kommunikation über die wirtschaftlichen Beziehungen zwischen der Schweiz und der EU, öffentliche Veranstaltungen zu Themen in den oben genannten Kernbereichen, Teilnahme an der Diskussion über die Weiterentwicklung der EU und ihrer Beziehung zu Drittstaaten, insbesondere zur Schweiz.",NA,NA,"NA",2,2,NA,NA,"Business and Industry, Economy, finance and the euro, Agriculture and Rural Development, Culture and media, Trade, Competition, Consumers, Customs, Education and training, Energy, Business and Industry, Environment, Taxation, Justice and Fundamental Rights, Single market, Foreign affairs and security policy, Research and innovation, External Relations, Trans-European Networks, Public Health, Digital economy and society, Transport, Climate Action, Banking and financial services","BUSINESSEUROPE, ICC, BIAC/OECD, Centre for European Policy Studies (CEPS) 
http://www.economiesuisse.ch/de/content/unser-netzwerk","http://www.economiesuisse.ch/de/content/mitglieder","01/01/2017","01/12/2017",NA,"400000-499999",0,NA,NA,NA,NA,NA,NA
"5","International Chamber of Commerce","50674299591-83",NA,"11/09/2012","II - In-house lobbyists and trade/business/professional associations","Trade and business associations","International Chamber of Commerce (ICC)","Association Loi 1901","http://www.iccwbo.org","France","Avenue du Président Wilson, 33-43","Paris","75116",NA,"(+33)1 49 53 28 28",NA,NA,NA,NA,NA,"Philip Kucharski","Chief Operating Officer","Nikolaus Schultze","Director of Policy and Global Affairs","ICC is the world business organization, a representative body that speaks with authority on behalf of enterprises from all sectors in every part of the world. 
The mission of ICC is to promote open international trade and investment and help business corporations meet the challenges and opportunities of of an increasingly integrated world economy. 
ICC has three main activities: rule setting, dispute resolutions, and policy advocacy. Because its member companies and associations are themselves engaged in international business, ICC has unrivalled authority in making rules that govern the conduct of business across borders. Although these rules are voluntary, they are observed in countless thousands of transactions every day and have become part of the fabric of international trade. 
Business leaders and experts drawn from the ICC membership establish the business stance on broad issues of trade and investment policy as well as on relevant technical subjects. These include: banking, commercial law and practice, competition policy, corporate responsibility and anti-corruption, customs and trade facilitation, the digital economy, environment and energy, intellectual property, marketing and advertising, taxation, and trade and investment policy. 
ICC works closely with the United Nations, the World Trade Organization and intergovernmental forums including the G20. 
ICC was founded in 1919. Today its global network comprises over 6 million companies, chamber of commerce and business associations in more than 100 countries. National committees work with ICC members in their countries to address their concerns and convey to their governments the business views formulated by ICC.","global","EU competition law and policy 
EU privacy and crossborder data flow policies 
EU VAT Experts Group 
EU ABS rules 
Article 55 Bank Recovering and Resolution Directive","Annual meeting between ICC and European Commission on antitrust developments",NA,NA,"Platform for Tax Good Governance, Aggressive Tax Planning and Double Taxation#E02897#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2897#Member#C#EU VAT Forum#E02845#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2845#Member#C#sub-group on cross-boarder rulings#sub-group on enhanced cooperation between Business and tax authorities and fight against fraud#Consultation Forum on Access and benefit sharing (ABS)#E03396#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3396#Member#C",3,0.75,NA,NA,"Culture and media, Trade, Competition, Consumers, Customs, Energy, Business and Industry, Environment, Taxation, Digital economy and society, Climate Action, Banking and financial services",NA,NA,"01/01/2016","01/12/2016",NA,"10000-24999",0,NA,NA,NA,NA,NA,NA
"6","Harvard Business School","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","London Business School","500216224858-27",NA,"01/12/2016","II - In-house lobbyists and trade/business/professional associations","Companies & groups","global","GCV","http://globalmagevents.com","Belgium","papegaaistraat","Gent","9000","76","(+32)479866557",NA,NA,NA,NA,NA,"pierre heyndrickx","director","pierre heyndrickx","director","People management and leadership programme  
 
Global is organising unique people management and leadership programme in Brussels whereby civil servants and managers are confronted with world authorities from no less than 5 of Europe’s leading business schools:   
 
Insead, London Business School, Saïd at Oxford University, Esade Barcelona, London School of Economics.  
 
Never before have top experts from those 5 prestigious business schools been brought together in an exclusive programme","European","onderwijs, voornamelijk professionele opleidingen, opleiding voor jonge en oudere werklozen","Brussels Leadership programme",NA,NA,"NA",1,0.25,NA,NA,"Education and training",NA,NA,"01/01/2017","01/12/2017",3000,NA,0,NA,NA,NA,NA,NA,NA
"8","INSEAD","500216224858-27",NA,"01/12/2016","II - In-house lobbyists and trade/business/professional associations","Companies & groups","global","GCV","http://globalmagevents.com","Belgium","papegaaistraat","Gent","9000","76","(+32)479866557",NA,NA,NA,NA,NA,"pierre heyndrickx","director","pierre heyndrickx","director","People management and leadership programme  
 
Global is organising unique people management and leadership programme in Brussels whereby civil servants and managers are confronted with world authorities from no less than 5 of Europe’s leading business schools:   
 
Insead, London Business School, Saïd at Oxford University, Esade Barcelona, London School of Economics.  
 
Never before have top experts from those 5 prestigious business schools been brought together in an exclusive programme","European","onderwijs, voornamelijk professionele opleidingen, opleiding voor jonge en oudere werklozen","Brussels Leadership programme",NA,NA,"NA",1,0.25,NA,NA,"Education and training",NA,NA,"01/01/2017","01/12/2017",3000,NA,0,NA,NA,NA,NA,NA,NA
"9","Bill & Melinda Gates Foundation","371567915480-41",NA,"08/01/2015","III - Non-governmental organisations","Non-governmental organisations, platforms and networks and similar","Bill & Melinda Gates Foundation (BMGF)","501 c3","http://www.gatesfoundation.org/","United States","5th Ave N., 440","Seattle","98109",NA,"(+1)206 7093100",NA,NA,NA,NA,NA,"Sue Desmond-Hellmann","CEO","Nuria Molina","Senior Program Officer EU","Guided by the belief that every life has equal value, the Bill & Melinda Gates Foundation works to help all people lead healthy, productive lives. In developing countries, it focuses on improving people’s health and giving them the chance to lift themselves out of hunger and extreme poverty. In the United States, it seeks to ensure that all people—especially those with the fewest resources—have access to the opportunities they need to succeed in school and life. Based in Seattle, Washington, the foundation is led by CEO Dr. Susan Desmond-Hellmann and Co-chair William H. Gates Sr., under the direction of Bill and Melinda Gates and Warren Buffett. 
 
The Foundation is represented in the following countries: UK, US, China, India, Ethiopia, Nigeria, South Africa.","global","Main EU initiatives covered the year before by activities falling under the scope of the Transparency Register 
-       Attendance of meetings and conferences (such as European Development Days)  
-       Bilateral meetings with DG Development Cooperation and DG Research staff on global health and agriculture issues related to Research and Development, nutrition, Sustainable Development Goals and broader health, gender and agriculture policies.",NA,NA,NA,"Horizon 2020 expert group on Future of Scholarly Publishing and scholarly Communication#E03463#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3463#Member#C",3,1.25,NA,NA,"Agriculture and Rural Development, International co-operation and development, Education and training, Youth, Research and innovation, Public Health","n/a",NA,"01/01/2016","01/12/2016",NA,"200000-299999",33578111937,NA,NA,NA,NA,NA,NA
"10","The Rockefeller Foundation","156305921975-59",NA,"14/06/2016","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","Other sub-national public authorities","Comune di Milano (CDM)","Local public body","https://www.comune.milano.it/","Italy","Piazza della Scala 2","Milano",NA,"20121","(+39)0288446072",NA,NA,NA,NA,NA,"Maria Vittoria Beria","Director","Marco Mazziotti","Head of EU Affairs Department","The Municipality of Milan is a Local Authority and is responsible for the strategic planning and delivery of a large number of services for the city (education, social services, economic development, mobility, housing). 
Second largest city in Italy (1.400.000 inhabitants in its Municipality, 180 sqKm), Milan is also administrative and business centre in the largest Italian metropolitan area, with a population of about 5.000.000 people, and the main city of Lombardy, Italian more populated and rich region. Milan Municipality is the local goverment of the core city. 
It is an international city, a crossroads of economic, financial and cultural exchanges, in particular innovation. 
It is an European metropolis that has signed a series of agreements, twinning and collaboration protocols around the world; it is the home of the most important Italian non-governmental organizations working in the field of international cooperation, as well as hosting the Italian headquarters of the major international economic groups. It promotes European and international cooperation and relations with the local institutions of other countries through joint initiatives of mutual interest. 
Its international projects take place in synergy and in coherence with the other programs and activities of the Administration, enhancing the city's actors and the city's active instances on priority thematic areas. 
The City of Milan has also joined the Milan Urban Food Policy Pact, which is the first international pact between the Mayors on urban food policy and is one of the most important legacy of Expo 2015. 
The City of Milan has the power to sign Collaboration Agreements with other international cities in the areas of common interest.  
The areas of collaboration are tourism, culture, education, training, architecture, trade, technology, urban and social development, university research and the exchange of good public administration practices.","European, global, national, regional/local","- Horizon 2020 Programme (Regulation EU N.1291/2013 of the European Parliament and of the Council) 
- Easi Programme (Regulation EU N.1296/2013 of the European Parliament and of the Council) 
- Life Programme (Regulation EU N.1293/2013 of the European Parliament and of the Council)   
- Urban Innovative Actions (Regulation EU N.1303/2013 of the European Parliament and of the Council) 
- Interreg Programme 2014-2020 (Regulation EU N. 1299/2013 of the European Parliament and of the Council)","- Eu-Gugle project (7FP) 
- Frevue project (7FP) 
- Decumanus project (7FP) 
- Nacca project (Marie Curie) 
- Stars project (IEE) 
- My Neighborhood project (CIP) 
- Cerco Offro Scuola project (FEI) 
- Una scuola senza libri project (Erasmus+) 
- Sharing Cities project (H2020) 
- BoostInno project (Urbact III) 
- CityMobil 2 project (7FP) 
- Opencare project (H2020) 
- Tide project (7FP) 
- Campus project (POR ESF LOMBARDIA 2014-2020) 
- Synchronicity projcet (H2020) 
- OpenAgri project (UIA) 
- Prepair project (Life) 
- Dynamap project (Life) 
- FAB project (EaSI) 
- Clever Cities project (H2020) 
- Approach project (REC-Justice)",NA,NA,"EU Platform on Food Losses and Food Waste#E03421#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3421#Member#C#Sub-group to support EU activities on ""action and implementation""#Sub-group to support EU activities to facilitate food donation",12,9.5,NA,NA,"Business and Industry, Agriculture and Rural Development, Culture and media, Culture, International co-operation and development, Education and training, Employment and Social Affairs, Energy, Environment, Youth, Justice and Fundamental Rights, Regional Policy, Research and innovation, External Relations, Public Health, Food Safety, Digital economy and society, Sport, Transport, Climate Action, Communication, Migration and asylum","The City of Milan has signed the ""Milan Urban Food Policy Pact"" for the creation of an international network of cities in order to share a common policy on food and make its food system more equitable and sustainable. 
Here you can find the website: 
http://www.foodpolicymilano.org/urban-food-policy-pact/ 
 
It is also part of the Eurocities network set up by the major European cities with the aim of sharing common challenges and opportunities at local governance level. 
Here you can find the website: 
http://www.eurocities.eu/eurocities/home",NA,"01/01/2016","01/12/2016",NA,"100000-199999",1593026,NA,NA,NA,NA,1593026,"Easi DG Employment, H2020 DG Research, REC-Justice DG Justice"
